mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.3293800115585327,0.023624904787675094,0.015132713317871093,0.0013459095421959342,1.0,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.43860089778900146,0.06817244261990477,0.016188526153564455,0.001567449407061268,10.0,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.31163911819458007,0.013241021135083493,0.012903237342834472,0.002200889802416055,100.0,1,rbf,"{'C': 100, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
0.06224498748779297,0.009081924343803805,0.008291363716125488,0.005389220039569757,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.9696969696969697,1.0,1.0,1.0,0.9969696969696968,0.009090909090909082,4
0.05064170360565186,0.01592999801256301,0.00546412467956543,0.0006668191291572642,100.0,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,0.9941176470588236,0.017647058823529415,5
0.5277739763259888,0.08392374770652283,0.021610736846923828,0.003200828404300514,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,1.0,1.0,1.0,0.9914285714285714,0.025714285714285724,6
0.048537373542785645,0.006455622467210295,0.005449509620666504,0.00041712546269525956,10.0,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.9888888888888889,0.03333333333333335,7
0.050621628761291504,0.008631200431200888,0.0104569673538208,0.005727994860311067,100.0,auto,rbf,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,0.9888888888888889,0.03333333333333335,7
0.04009380340576172,0.008400491441460175,0.005929231643676758,0.0006354938078411528,100.0,0.01,rbf,"{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0,1.0,0.9142857142857143,1.0,1.0,0.9696969696969697,0.9883982683982684,0.026304392521916187,9
0.10410573482513427,0.01387365363841613,0.009850525856018066,0.0062832360567758785,1.0,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,0.918918918918919,1.0,0.7619047619047619,1.0,1.0,1.0,0.968082368082368,0.07285336769196782,10
0.1056035041809082,0.04830824599220307,0.00886533260345459,0.004625655261006319,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",1.0,1.0,1.0,1.0,0.918918918918919,1.0,0.6808510638297872,1.0,1.0,1.0,0.9599769982748706,0.09613104519194529,11
