instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,next_slide,0,0,0,0,0,0,1,1,1,1,0.5558682680130005,0.8916971683502197,0.7036446928977966,0.876757820447286,0.8170743584632874,0.910858541727066,1,0,0.26120609045028687,0.0
2,next_slide,0,0,0,0,0,0,1,1,1,1,0.5063900947570801,0.8917210400104523,0.6010838945706686,0.8926962614059448,0.7950039505958557,0.9039674699306488,1,0,0.28861385583877563,0.0
3,next_slide,0,0,0,0,0,0,1,1,1,1,0.5130035579204559,0.8926428556442261,0.5978180964787801,0.8807613253593445,0.7826558649539948,0.9039705097675323,1,0,0.2696523070335388,0.0
4,next_slide,0,0,0,0,0,0,1,1,1,1,0.46681711077690125,0.9045210182666779,0.6223140358924866,0.9166311224301656,0.7631497979164124,0.9162271320819855,1,0,0.2963326871395111,0.0
5,next_slide,0,0,0,0,0,0,1,1,1,1,0.4628506451845169,0.9087263941764832,0.5608104467391968,0.8825806379318237,0.7330632507801056,0.874832957983017,1,0,0.2702126055955887,0.0
