instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
1,next_slide,0,0,0,0,0,0,1,0,0,0,0.4178665429353714,0.8742300570011139,0.560330351193746,0.8332399725914001,0.7236170470714569,0.8267256021499634,1,0,0.3057505041360855,0.0
2,next_slide,0,0,0,0,0,0,1,0,0,0,0.48179376125335693,0.8666543066501617,0.6675336956977844,0.8294466137886047,0.7456118762493134,0.8365418910980225,1,0,0.2638181149959564,0.0
3,next_slide,0,0,0,0,0,0,1,0,0,0,0.45373205840587616,0.8745205998420715,0.7232001026471456,0.8239334424336752,0.7655573487281799,0.8371231555938721,1,0,0.31182529032230377,0.0
4,next_slide,0,0,0,0,0,0,1,0,0,0,0.4793096333742142,0.8930244743824005,0.6614630818367004,0.8207192818323771,0.7616099715232849,0.8338689208030701,1,0,0.28230033814907074,0.0
5,next_slide,0,0,0,0,0,0,1,0,0,0,0.4902152419090271,0.895453006029129,0.6870787342389425,0.8438632488250732,0.7830353379249573,0.8484285175800323,1,0,0.2928200960159302,0.0
