instance_id,pose_label,left_finger_state_0,left_finger_state_1,left_finger_state_2,left_finger_state_3,left_finger_state_4,right_finger_state_0,right_finger_state_1,right_finger_state_2,right_finger_state_3,right_finger_state_4,motion_x_start,motion_y_start,motion_x_mid,motion_y_mid,motion_x_end,motion_y_end,main_axis_x,main_axis_y,delta_x,delta_y
2327,home,1,0,0,0,0,1,0,0,0,0,0.8093819320201874,0.4194331765174866,0.8095846573511759,0.4196486373742421,0.8102578818798065,0.4196935147047043,1,0,0.0008759498596191,0.0
2328,home,0,0,0,0,0,1,0,0,0,0,0.8043949902057648,0.4179479926824569,0.8045362631479899,0.4186734358469645,0.8040794730186462,0.4198555946350097,0,1,0.0,0.0019076019525527
2329,home,0,0,0,0,0,1,0,0,0,0,0.8040837347507477,0.4176664501428604,0.8016017278035482,0.4179948667685191,0.8028501570224762,0.4178202897310257,1,0,-0.0012335777282714,0.0
2330,home,0,0,0,0,0,1,0,0,0,0,0.8034180402755737,0.4185742884874344,0.8006592392921448,0.417410949865977,0.8018480241298676,0.4167978167533874,0,1,0.0,-0.0017764717340469
2331,home,0,0,0,0,0,1,0,0,0,0,0.5694791674613953,0.3707931935787201,0.5700347423553467,0.3717643320560455,0.5713273882865906,0.371844008564949,1,0,0.0018482208251953,0.0
2332,home,1,0,0,0,0,1,0,0,0,0,0.5722731053829193,0.3695421516895294,0.57358717918396,0.3706031839052836,0.5722702741622925,0.3671082407236099,0,1,0.0,-0.0024339109659194
2333,home,0,0,0,0,0,1,0,0,0,0,0.569332093000412,0.3688946515321731,0.5701780716578165,0.3709632953008016,0.5707409977912903,0.3696086406707763,1,0,0.0014089047908782,0.0
2334,home,0,0,0,0,0,1,0,0,0,0,0.5694197118282318,0.3720115423202514,0.5723817745844523,0.3751585980256398,0.5718618333339691,0.3753434866666794,0,1,0.0,0.0033319443464279
2335,home,0,0,0,0,0,1,0,0,0,0,0.5675080716609955,0.3757110238075256,0.5676257212956747,0.3738989233970642,0.5678435564041138,0.37326879799366,0,1,0.0,-0.0024422258138656
2336,home,1,0,0,0,0,1,0,0,0,0,0.5676732063293457,0.3711407035589218,0.564940869808197,0.3704897165298462,0.5644027292728424,0.3717145174741745,1,0,-0.0032704770565032,0.0
2337,home,0,0,0,0,0,0,0,1,1,1,0.6164816617965698,0.3517984896898269,0.6596707900365194,0.3327236175537109,0.6553477942943573,0.3391842097043991,1,0,0.0388661324977874,0.0
2338,home,0,0,0,0,0,1,0,0,0,0,0.6589610576629639,0.3424707651138305,0.6563899715741476,0.3421596586704254,0.6560514569282532,0.3416129350662231,1,0,-0.0029096007347106,0.0
2339,home,1,0,0,0,0,1,0,0,0,0,0.6533898115158081,0.343851551413536,0.6523658434549967,0.3424281577269236,0.6520520746707916,0.3426057994365692,1,0,-0.0013377368450164,0.0
2340,home,0,0,0,0,0,1,0,0,0,0,0.6492890417575836,0.3411552160978317,0.648764411608378,0.3416300515333811,0.647775411605835,0.3421184718608856,1,0,-0.0015136301517486,0.0
2341,home,0,0,0,0,0,1,0,0,0,0,0.6470924019813538,0.3456054776906967,0.6461046934127808,0.3431793749332428,0.6471136510372162,0.3432602137327194,0,1,0.0,-0.0023452639579772
2342,home,1,0,0,0,0,1,0,0,0,0,0.566064327955246,0.4505188763141632,0.5617976387341818,0.4507534404595693,0.5618074536323547,0.4514380544424057,1,0,-0.0042568743228912,0.0
2343,home,1,1,0,0,0,1,0,0,0,0,0.559457004070282,0.4521711021661758,0.5574714541435242,0.4528613885243733,0.5573061108589172,0.4524180442094803,1,0,-0.0021508932113647,0.0
2344,home,1,0,0,0,0,1,0,0,0,0,0.5627363622188568,0.4538464695215225,0.560924748579661,0.4536295334498088,0.5597644746303558,0.4534624218940735,1,0,-0.0029718875885009,0.0
2345,home,1,0,0,0,0,1,0,0,0,0,0.5574115812778473,0.4536640793085098,0.5570341746012369,0.4552184243996938,0.5585577487945557,0.4574681967496872,0,1,0.0,0.0038041174411773
2346,home,1,0,0,0,0,1,0,0,0,0,0.5592627823352814,0.4572283625602722,0.5598163406054179,0.458259512980779,0.5587452054023743,0.4579353779554367,0,1,0.0,0.0007070153951644
2347,home,1,0,0,0,0,1,0,0,0,0,0.3200317621231079,0.4095455706119537,0.3250281711419423,0.4075748026371002,0.3263989090919494,0.4075403660535812,1,0,0.0063671469688415,0.0
2348,home,1,0,0,0,0,1,0,0,0,0,0.3294144868850708,0.4087320119142532,0.3279420435428619,0.4078077673912048,0.326147586107254,0.4075815230607986,1,0,-0.0032669007778167,0.0
2349,home,1,0,0,0,0,1,0,0,0,0,0.3253014832735061,0.4081943035125732,0.3241013387838999,0.4081251223882039,0.3257419615983963,0.4086027592420578,1,0,0.0004404783248901,0.0
2350,home,1,0,0,0,0,1,0,0,0,0,0.3305526375770569,0.4106082618236542,0.3288582662741343,0.4095599452654521,0.3281836956739425,0.4090559780597687,1,0,-0.0023689419031143,0.0
2351,home,1,0,0,0,0,1,0,0,0,0,0.3230671286582947,0.4103588908910751,0.3201858301957448,0.4161579012870788,0.3174902647733688,0.4120299071073532,1,0,-0.0055768638849258,0.0
2352,home,1,0,0,0,0,1,0,0,0,0,0.8368580341339111,0.393547773361206,0.835635244846344,0.3972962896029154,0.8348628580570221,0.3970113396644592,0,1,0.0,0.0034635663032531
2353,home,1,0,0,0,0,1,0,0,0,0,0.8352100849151611,0.4008174240589142,0.8336410721143087,0.400497814019521,0.8338168859481812,0.3982139229774475,0,1,0.0,-0.0026035010814666
2354,home,1,0,0,0,0,1,0,0,0,0,0.8309653997421265,0.3996473550796509,0.8298975825309753,0.4000689486662547,0.8303355276584625,0.3977057635784149,0,1,0.0,-0.0019415915012359
2355,home,1,1,0,0,0,1,0,0,0,0,0.8335241377353668,0.3984853029251098,0.8340645829836527,0.3993210395177205,0.8344400525093079,0.3990640044212341,1,0,0.000915914773941,0.0
2356,home,1,1,0,0,0,1,0,0,0,0,0.8343875706195831,0.4032860249280929,0.8336294293403625,0.4026564359664917,0.8326512575149536,0.4016829580068588,1,0,-0.0017363131046295,0.0
2357,home,1,1,0,0,0,1,0,0,0,0,0.5954059362411499,0.3251403570175171,0.6018197536468506,0.3293000757694244,0.6105956137180328,0.3279924392700195,1,0,0.0151896774768829,0.0
